GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica5,problem.definition,Problem.ProblemType,0,15,0,0,0,1,0,1,0,1
practica5,problem.definition,Operator,0,3,0,0,0,1,0,1,0,1
practica5,problem.definition,Problem,46,99,5,5,11,27,10,14,5,14
practica5,problem.definition,ObjetiveFunction,0,17,0,0,0,7,0,5,0,5
practica5,problem.definition,Codification,0,3,0,0,0,1,0,1,0,1
practica5,problem.definition,State,37,186,5,21,7,41,5,23,0,15
practica5,problem_operators,MutationOperator,2,42,0,2,1,13,1,3,1,2
practica5,problem.extension,MultiObjetivoPuro,0,82,0,8,0,15,0,6,0,2
practica5,problem.extension,FactoresPonderados,0,158,0,8,0,21,0,6,0,2
practica5,problem.extension,TypeSolutionMethod,0,15,0,0,0,2,0,1,0,1
practica5,problem.extension,SolutionMethod,0,3,0,0,0,1,0,1,0,1
practica5,problem.extension,MetricasMultiobjetivo,0,372,2,42,0,83,2,28,0,8
practica5,metaheurictics.strategy,Strategy,412,777,45,57,77,152,37,44,4,26
practica5,metaheurictics.strategy,Strategy.new PrivilegedAction() {...},15,0,0,0,3,0,2,0,2,0
practica5,metaheuristics.generators,HillClimbingRestart,112,176,15,9,22,35,21,9,10,8
practica5,metaheuristics.generators,TabuSearch,96,197,22,10,26,42,25,9,9,9
practica5,metaheuristics.generators,LimitThreshold,34,154,3,7,12,34,11,12,8,10
practica5,metaheuristics.generators,InstanceGA,9,44,1,3,5,15,2,4,1,3
practica5,metaheuristics.generators,HillClimbing,39,198,9,13,9,39,14,15,6,12
practica5,metaheuristics.generators,LimitRoulette,0,24,0,0,0,10,0,7,0,7
practica5,metaheuristics.generators,InstanceDE,7,46,0,4,4,16,1,5,1,3
practica5,metaheuristics.generators,MultiobjectiveHillClimbingDistance,122,368,21,21,31,80,24,19,10,12
practica5,metaheuristics.generators,Generator,0,3,0,0,0,1,0,1,0,1
practica5,metaheuristics.generators,EvolutionStrategies,177,287,19,25,30,51,23,20,8,13
practica5,metaheuristics.generators,Particle,128,208,6,8,21,42,19,11,13,10
practica5,metaheuristics.generators,ParticleSwarmOptimization,468,304,45,29,79,67,42,32,14,23
practica5,metaheuristics.generators,InstanceEE,5,48,1,3,3,17,1,5,0,4
practica5,metaheuristics.generators,SimulatedAnnealing,27,198,5,5,8,48,11,16,6,16
practica5,metaheuristics.generators,MultiGenerator,305,409,41,31,73,89,43,26,18,15
practica5,metaheuristics.generators,GeneticAlgorithm,141,390,23,23,20,71,25,19,7,14
